t=5,t=10,t=20
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.000630047,7.93917e-07,1.26061e-12
0.00576043,1.29295e-05,3.85386e-11
0.0260119,0.000104473,5.86518e-10
0.0777657,0.00055895,5.92555e-09
0.174201,0.00222982,4.47145e-08
0.314061,0.0070828,2.68863e-07
0.478587,0.0186834,1.34206e-06
0.640102,0.0421593,5.72106e-06
0.775195,0.0832187,2.12657e-05
0.872989,0.146271,7.00343e-05
0.935018,0.232347,0.000206947
0.969832,0.337865,0.000554368
0.987261,0.454982,0.00135786
0.995094,0.573497,0.00306333
0.998273,0.683486,0.00640541
0.999443,0.777575,0.0124828
0.999835,0.852092,0.0227837
0.999955,0.906939,0.0391212
0.999989,0.944585,0.0634516
0.999997,0.968753,0.0975789
0.999999,0.983303,0.142789
1,0.991538,0.199497
1,0.995929,0.266995
1,0.998139,0.343392
1,0.999191,0.425768
1,0.999665,0.510535
1,0.999868,0.593909
1,0.99995,0.672405
1,0.999982,0.743241
1,0.999994,0.804591
1,0.999998,0.855643
1,0.999999,0.896507
1,1,0.928
1,1,0.951392
1,1,0.968153
1,1,0.979747
1,1,0.987495
1,1,0.992503
1,1,0.995634
1,1,0.99753
1,1,0.998641
1,1,0.999274
1,1,0.999622
1,1,0.999809
1,1,0.999906
1,1,0.999955
1,1,0.999979
1,1,0.99999
1,1,0.999996
1,1,0.999998
1,1,0.999999
