t=5,t=10,t=20
0,0,0
0,2.53004e-43,3.00494e-27
0,2.13366e-41,1.1824e-26
0,4.24203e-41,2.13107e-26
0,1.78182e-39,6.33902e-26
0,3.52122e-39,1.05831e-25
0,9.82219e-38,3.01639e-25
0,1.92923e-37,4.97637e-25
0,4.02041e-36,1.386e-24
0,7.84789e-36,2.27447e-24
0,1.30327e-34,6.2048e-24
0,2.52807e-34,1.01352e-23
0,3.48491e-33,2.70964e-23
0,6.717e-33,4.40577e-23
0,7.90545e-32,1.15473e-22
0,1.51392e-31,1.86889e-22
0,1.55293e-30,4.8035e-22
0,2.95447e-30,7.73811e-22
0,2.68325e-29,1.95097e-21
0,5.07106e-29,3.12813e-21
0,4.12861e-28,7.73868e-21
0,7.75012e-28,1.23492e-20
0,5.71343e-27,2.99852e-20
0,1.06518e-26,4.76212e-20
0,7.16962e-26,1.13519e-19
0,1.3274e-25,1.79417e-19
0,8.21445e-25,4.19996e-19
0,1.51015e-24,6.60576e-19
0,8.64317e-24,1.51889e-18
0,1.57762e-23,2.37721e-18
0,8.39361e-23,5.37032e-18
0,1.52096e-22,8.36342e-18
0,7.55595e-22,1.85672e-17
0,1.35909e-21,2.8771e-17
0,6.32909e-21,6.27835e-17
0,1.12991e-20,9.67961e-17
0,4.94944e-20,2.0767e-16
0,8.76898e-20,3.18545e-16
0,3.62428e-19,6.72057e-16
0,6.37166e-19,1.02557e-15
0,2.49165e-18,2.12819e-15
0,4.34613e-18,3.23081e-15
0,1.61206e-17,6.59562e-15
0,2.78951e-17,9.96043e-15
0,9.83637e-17,2.00081e-14
0,1.68832e-16,3.00558e-14
0,5.67133e-16,5.94189e-14
0,9.65434e-16,8.8782e-14
0,3.09524e-15,1.72771e-13
0,5.22504e-15,2.5676e-13
2.51497e-22,1.6016e-14,4.9193e-13
5.02995e-22,2.6807e-14,7.27099e-13
2.14611e-20,7.86869e-14,1.37175e-12
4.24192e-20,1.30567e-13,2.0164e-12
8.98209e-19,3.67549e-13,3.74664e-12
1.754e-18,6.0453e-13,5.47688e-12
2.45751e-17,1.63427e-12,1.00243e-11
4.73961e-17,2.66402e-12,1.45717e-11
4.94308e-16,6.92502e-12,2.6276e-11
9.41221e-16,1.1186e-11,3.79804e-11
7.79388e-15,2.79933e-11,6.7485e-11
1.46465e-14,4.48006e-11,9.69897e-11
1.00305e-13,1.08054e-10,1.69841e-10
1.85963e-13,1.71307e-10,2.42692e-10
1.08333e-12,3.98624e-10,4.18896e-10
1.98071e-12,6.2594e-10,5.95101e-10
1.00197e-11,1.40662e-09,1.01261e-09
1.80586e-11,2.18731e-09,1.43013e-09
8.05838e-11,4.75131e-09,2.39935e-09
1.43109e-10,7.31532e-09,3.36858e-09
5.70364e-10,1.53736e-08,5.5731e-09
9.9762e-10,2.34319e-08,7.77761e-09
3.58705e-09,4.76815e-08,1.26908e-08
6.17647e-09,7.1931e-08,1.76039e-08
2.02025e-08,1.4184e-07,2.83338e-08
3.42286e-08,2.11748e-07,3.90637e-08
1.02561e-07,4.04917e-07,6.20274e-08
1.70893e-07,5.98085e-07,8.4991e-08
4.71879e-07,1.1099e-06,1.33154e-07
7.72866e-07,1.62171e-06,1.81318e-07
1.97681e-06,2.92257e-06,2.8032e-07
3.18076e-06,4.22343e-06,3.79323e-07
7.57015e-06,7.39626e-06,5.78778e-07
1.19595e-05,1.05691e-05,7.78234e-07
2.65908e-05,1.79975e-05,1.17209e-06
4.12221e-05,2.5426e-05,1.56594e-06
8.59289e-05,4.21256e-05,2.32823e-06
0.000130636,5.88252e-05,3.09053e-06
0.000256128,9.48812e-05,4.53673e-06
0.000381621,0.000130937,5.98293e-06
0.00070581,0.00020572,8.67235e-06
0.00103,0.000280503,1.13618e-05
0.00180188,0.000429526,1.62644e-05
0.00257376,0.00057855,2.1167e-05
0.00426955,0.000863914,2.99276e-05
0.00596535,0.00114928,3.86882e-05
0.00940609,0.00167443,5.40343e-05
0.0128468,0.00219958,6.93803e-05
0.0192982,0.00312842,9.57321e-05
0.0257496,0.00405725,0.000122084
0.036932,0.00563627,0.000166443
0.0481145,0.0072153,0.000210801
0.066035,0.0097954,0.000284001
0.0839555,0.0123755,0.0003572
0.110504,0.0164276,0.000475611
0.137053,0.0204797,0.000594022
0.1734,0.026596,0.000781793
0.209747,0.0327124,0.000969564
0.255703,0.0415848,0.00126145
0.301658,0.0504573,0.00155334
0.355273,0.062825,0.00199812
0.408888,0.0751927,0.0024429
0.466539,0.0917566,0.00310728
0.524189,0.108321,0.00377165
0.581239,0.129631,0.00474441
0.638289,0.150941,0.00571717
0.690153,0.177273,0.00711326
0.742016,0.203604,0.00850935
0.785236,0.234845,0.0104733
0.828456,0.266086,0.0124372
0.861385,0.301666,0.015145
0.894314,0.337246,0.0178528
0.917182,0.376131,0.0215121
0.94005,0.415017,0.0251713
0.95447,0.455783,0.0300176
0.968891,0.49655,0.0348639
0.977114,0.537533,0.0411541
0.985336,0.578515,0.0474443
0.989553,0.618003,0.0554449
0.99377,0.657492,0.0634456
0.995702,0.693942,0.0734175
0.997635,0.730393,0.0833893
0.998421,0.76261,0.0955676
0.999206,0.794826,0.107746
0.999487,0.822074,0.122318
0.999767,0.849322,0.13689
0.999854,0.87136,0.153974
0.999941,0.893399,0.171057
0.999965,0.910434,0.190677
0.999988,0.927469,0.210296
0.999993,0.940042,0.232368
0.999998,0.952615,0.25444
0.999999,0.96147,0.278762
1,0.970324,0.303083
1,0.976268,0.329332
1,0.982212,0.355581
1,0.986012,0.383324
1,0.989811,0.411066
1,0.992122,0.439779
1,0.994433,0.468491
