t=5,t=10,t=20
0,0,0
0,0,-1.54516e-118
0,0,6.13035e-116
0,0,-1.61223e-113
0,0,3.16181e-111
0,0,-4.93201e-109
0,0,6.37388e-107
0,0,-7.0193e-105
0,0,6.72405e-103
0,0,-5.69164e-101
0,0,4.31013e-99
0,0,-2.94943e-97
0,0,1.83893e-95
0,0,-1.05191e-93
0,0,5.55318e-92
0,0,-2.71927e-90
0,0,1.24059e-88
0,0,-5.29356e-87
0,0,2.11982e-85
0,0,-7.99099e-84
0,0,2.84341e-82
0,0,-9.57373e-81
0,0,3.05696e-79
0,0,-9.27562e-78
0,0,2.67941e-76
0,0,-7.38094e-75
0,0,1.94192e-73
0,0,-4.88676e-72
0,0,1.17774e-70
0,0,-2.72177e-69
0,0,6.0383e-68
0,0,-1.28736e-66
0,0,2.64017e-65
0,0,-5.21326e-64
0,0,9.91987e-63
0,0,-1.82041e-61
0,0,3.22425e-60
0,0,-5.51555e-59
0,0,9.11884e-58
0,0,-1.45798e-56
0,0,2.2557e-55
0,0,-3.37887e-54
0,0,4.90282e-53
0,0,-6.89479e-52
0,0,9.40154e-51
0,0,-1.24357e-49
0,0,1.59631e-48
0,0,-1.98933e-47
0,0,2.40771e-46
0,0,-2.83111e-45
0,0,3.23528e-44
0,0,-3.5942e-43
0,0,3.88291e-42
0,0,-4.08034e-41
0,0,4.17189e-40
0,0,-4.1512e-39
0,0,4.02085e-38
0,0,-3.79193e-37
0,0,3.48247e-36
0,0,-3.11517e-35
0,0,2.71467e-34
0,0,-2.30498e-33
0,0,1.90719e-32
0,0,-1.53801e-31
0,0,1.20898e-30
0,0,-9.26438e-30
0,0,6.92151e-29
0,0,-5.04208e-28
0,0,3.5816e-27
0,0,-2.48103e-26
0,0,1.6761e-25
0,0,-1.10432e-24
0,0,7.0964e-24
0,0,-4.44768e-23
0,0,2.71885e-22
0,0,-1.62103e-21
0,0,9.42641e-21
0,0,-5.34607e-20
0,0,2.95692e-19
0,0,-1.5949e-18
0,0,8.38859e-18
0,0,-4.30195e-17
0,0,2.1509e-16
0,0,-1.04833e-15
0,0,4.98017e-15
0,0,-2.30561e-14
0,0,1.04004e-13
0,0,-4.57034e-13
0,0,1.95607e-12
0,0,-8.15177e-12
0,0,3.30696e-11
0,0,-1.30552e-10
0,0,5.01379e-10
0,0,-1.87246e-09
0,0,6.79736e-09
0,0,-2.39742e-08
0,0,8.21099e-08
0,0,-2.72922e-07
0,0,8.79808e-07
0,0,-2.74864e-06
0,3.11151e-61,8.31497e-06
0,-1.23838e-58,-2.43331e-05
0,2.43637e-56,6.88084e-05
0,-3.15874e-54,-0.000187773
0,3.03564e-52,0.000493758
0,-2.30628e-50,-0.00124882
0,1.44263e-48,0.00303137
0,-7.6409e-47,-0.00704318
0,3.49749e-45,0.0156104
0,-1.40525e-43,-0.0328597
0,5.01704e-42,0.0653025
0,-1.6074e-40,-0.121488
0,4.65904e-39,0.208865
0,-1.23e-37,-0.324689
0,2.97462e-36,0.437214
0,-6.62223e-35,-0.456008
0,1.36288e-33,0.200368
0,-2.60246e-32,0.603313
0,4.62579e-31,-2.23259
0,-7.67524e-30,4.70427
0,1.19176e-28,-7.28977
0,-1.73558e-27,7.94492
0,2.37529e-26,-3.15439
0,-3.06034e-25,-10.8719
0,3.71781e-24,34.6587
0,-4.2646e-23,-59.7354
0,4.62471e-22,63.905
0,-4.74665e-21,-14.917
