t=5,t=10,t=20
0,0,0
0,0,-3.87259e-121
0,0,1.9363e-120
0,0,-1.14513e-117
0,0,5.70704e-117
0,0,-1.6662e-114
0,0,8.27671e-114
0,0,-1.59027e-111
0,0,7.87339e-111
0,0,-1.11982e-108
0,0,5.52565e-108
0,0,-6.20426e-106
0,0,3.05109e-105
0,0,-2.81663e-103
0,0,1.38042e-102
0,0,-1.07746e-100
0,0,5.26241e-100
0,0,-3.54454e-98
0,0,1.72516e-97
0,0,-1.01844e-95
0,0,4.93946e-95
0,0,-2.58716e-93
0,0,1.25033e-92
0,0,-5.86773e-91
0,0,2.82563e-90
0,0,-1.19776e-88
0,0,5.74704e-88
0,0,-2.2153e-86
0,0,1.05907e-85
0,0,-3.73348e-84
0,0,1.77831e-83
0,0,-5.76121e-82
0,0,2.73398e-81
0,0,-8.17407e-80
0,0,3.86452e-79
0,0,-1.07018e-77
0,0,5.04054e-77
0,0,-1.297e-75
0,0,6.0857e-75
0,0,-1.45912e-73
0,0,6.82024e-73
0,0,-1.52746e-71
0,0,7.11225e-71
0,0,-1.49114e-69
0,0,6.91628e-69
0,0,-1.3601e-67
0,0,6.2839e-67
0,0,-1.16108e-65
0,0,5.34343e-65
0,0,-9.29087e-64
0,0,4.25896e-63
0,0,-6.97811e-62
0,0,3.18616e-61
0,0,-4.92524e-60
0,0,2.23993e-59
0,0,-3.27031e-58
0,0,1.48138e-57
0,0,-2.0447e-56
0,0,9.22524e-56
0,0,-1.20479e-54
0,0,5.41412e-54
0,0,-6.69498e-53
0,0,2.99665e-52
0,0,-3.5109e-51
0,0,1.56523e-50
0,0,-1.73841e-49
0,0,7.71956e-49
0,0,-8.13112e-48
0,0,3.5965e-47
0,0,-3.59399e-46
0,0,1.58347e-45
0,0,-1.50163e-44
0,0,6.59046e-44
0,0,-5.93211e-43
0,0,2.59359e-42
0,0,-2.21607e-41
0,0,9.65257e-41
0,0,-7.82931e-40
0,0,3.39768e-39
0,0,-2.61602e-38
0,0,1.1312e-37
0,0,-8.26637e-37
0,0,3.56203e-36
0,0,-2.47e-35
0,0,1.06077e-34
0,0,-6.97767e-34
0,0,2.98703e-33
0,0,-1.86314e-32
0,0,7.95165e-32
0,0,-4.70074e-31
0,0,2.00056e-30
0,0,-1.12022e-29
0,0,4.75516e-29
0,0,-2.52029e-28
0,0,1.06737e-27
0,0,-5.35029e-27
0,0,2.26146e-26
0,0,-1.07105e-25
0,0,4.51997e-25
0,0,-2.02038e-24
0,0,8.51675e-24
0,-6.22302e-61,-3.58837e-23
0,3.11151e-60,1.51177e-22
0,-9.06693e-58,-5.99523e-22
0,4.5036e-57,2.52588e-21
0,-6.39285e-55,-9.41261e-21
0,3.15401e-54,3.96879e-20
0,-2.90576e-52,-1.3871e-19
0,1.42376e-51,5.85835e-19
0,-9.56991e-50,-1.91618e-18
0,4.65623e-49,8.11473e-18
0,-2.43357e-47,-2.47777e-17
0,1.1756e-46,1.05343e-16
