t=5,t=10,t=20
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.56783e-308,0,0
4.12279e-290,0,0
1.84043e-272,0,0
2.28428e-255,0,0
7.88285e-239,0,0
7.56346e-223,0,0
2.01772e-207,5.90611e-313,0
1.49659e-192,1.30587e-294,0
3.08638e-178,8.0279e-277,0
1.7697e-164,1.37217e-259,0
2.82131e-151,6.52102e-243,0
1.25057e-138,8.61641e-227,0
1.54122e-126,3.16549e-211,0
5.28112e-115,3.23339e-196,0
5.03142e-104,9.18287e-182,0
1.33278e-93,7.25107e-168,0
9.81587e-84,1.59195e-154,0
2.01003e-74,9.71757e-142,0
1.1444e-65,1.64927e-129,2.47033e-322
1.81159e-57,7.78263e-118,1.03059e-303
7.97337e-50,1.02109e-106,1.20154e-285
9.75726e-43,3.72483e-96,3.89486e-268
3.31984e-36,3.77791e-86,3.51033e-251
3.14057e-30,1.06537e-76,8.79646e-235
8.26046e-25,8.35315e-68,6.12873e-219
6.04091e-20,1.82098e-59,1.18723e-203
1.2283e-15,1.10373e-51,6.39448e-189
6.94397e-12,1.86004e-44,9.57585e-175
1.09148e-08,8.71535e-38,3.98705e-161
4.77008e-06,1.13541e-31,4.61562e-148
0.000579615,4.11264e-26,1.48563e-135
0.0195819,4.14184e-21,1.32952e-123
0.18394,1.15976e-16,3.30813e-112
0.480395,9.02916e-13,2.28862e-101
0.348838,1.95447e-09,4.40216e-91
0.0704292,1.17629e-06,2.3543e-81
0.00395353,0.000196835,3.50076e-72
6.17049e-05,0.00915782,1.44732e-63
2.67767e-07,0.118464,1.66368e-55
3.23072e-10,0.426072,5.31715e-48
1.08378e-13,0.426072,4.72488e-41
1.01086e-17,0.118464,1.16736e-34
2.62144e-22,0.00915782,8.01905e-29
1.89014e-27,0.000196835,1.5316e-23
3.78922e-33,1.17629e-06,8.13332e-19
2.11208e-39,1.95447e-09,1.20087e-14
3.2732e-46,9.02916e-13,4.92975e-11
1.41039e-53,1.15976e-16,5.62676e-08
1.68969e-61,4.14184e-21,1.78564e-05
5.62831e-70,4.11264e-26,0.00157556
5.21258e-79,1.13541e-31,0.0386524
1.34224e-88,8.71535e-38,0.263646
9.60974e-99,1.86004e-44,0.5
1.91291e-109,1.10373e-51,0.263646
1.05872e-120,1.82098e-59,0.0386524
1.62919e-132,8.35315e-68,0.00157556
6.97053e-145,1.06537e-76,1.78564e-05
8.29205e-158,3.77791e-86,5.62676e-08
2.74259e-171,3.72483e-96,4.92975e-11
2.52211e-185,1.02109e-106,1.20087e-14
6.44865e-200,7.78263e-118,8.13332e-19
4.58435e-215,1.64927e-129,1.5316e-23
9.06127e-231,9.71757e-142,8.01905e-29
4.97971e-247,1.59195e-154,1.16736e-34
7.60889e-264,7.25107e-168,4.72488e-41
3.23253e-281,9.18287e-182,5.31715e-48
3.81826e-299,3.23339e-196,1.66368e-55
1.25399e-317,3.16549e-211,1.44732e-63
0,8.61641e-227,3.50076e-72
0,6.52102e-243,2.3543e-81
0,1.37217e-259,4.40216e-91
0,8.0279e-277,2.28862e-101
0,1.30587e-294,3.30813e-112
0,5.90611e-313,1.32952e-123
0,0,1.48563e-135
0,0,4.61562e-148
0,0,3.98705e-161
0,0,9.57585e-175
