t=5,t=10,t=20
0,0,0
-1.1543e-56,-1.35638e-39,-1.72707e-25
-8.51075e-55,-1.48507e-38,-8.04039e-25
-4.37732e-53,-3.61282e-37,-8.47735e-24
-2.84272e-51,-3.50018e-36,-4.43131e-23
-1.16947e-49,-8.62696e-35,-3.74579e-22
-6.72004e-48,-7.34289e-34,-2.23772e-21
-2.33746e-46,-1.83427e-32,-1.43957e-20
-1.18503e-44,-1.36761e-31,-1.03026e-19
-3.62484e-43,-3.45839e-30,-4.68048e-19
-1.61034e-41,-2.25547e-29,-4.29831e-18
-4.46448e-40,-5.75384e-28,-1.21715e-17
-1.7218e-38,-3.28573e-27,-1.61351e-16
-4.43416e-37,-8.39774e-26,-2.15061e-16
-1.4679e-35,-4.21983e-25,-5.40537e-15
-3.58598e-34,-1.06759e-23,-3.43597e-16
-1.00577e-32,-4.77238e-23,-1.60095e-13
-2.37427e-31,-1.17195e-21,1.55955e-13
-5.55928e-30,-4.75301e-21,-4.14665e-12
-1.28961e-28,-1.09881e-19,7.4229e-12
-2.47944e-27,-4.17352e-19,-9.27224e-11
-5.74027e-26,-8.67533e-18,2.22778e-10
-8.89662e-25,-3.23562e-17,-1.76212e-09
-2.08534e-23,-5.6564e-16,4.99633e-09
-2.55309e-22,-2.21357e-15,-2.79012e-08
-6.1377e-21,-2.95842e-14,8.69162e-08
-5.80946e-20,-1.3284e-13,-3.58351e-07
-1.44735e-18,-1.18052e-12,1.1722e-06
-1.03726e-17,-6.89137e-12,-3.58797e-06
-2.69084e-16,-3.20928e-11,1.19768e-05
-1.43924e-15,-3.01441e-10,-2.61365e-05
-3.85368e-14,-3.5943e-10,8.81379e-05
-1.5495e-13,-1.07348e-08,-0.000117442
-4.10683e-12,1.35574e-08,0.000417475
-1.32254e-11,-2.97337e-07,-0.00010585
-3.07793e-10,8.13203e-07,0.000847424
-9.46139e-10,-6.02518e-06,0.00229807
-1.45123e-08,2.04978e-05,-0.00246555
-5.91837e-08,-8.12648e-05,0.0138145
-3.00671e-07,0.000282557,-0.0175573
-2.99871e-06,-0.00059803,0.0261896
5.70569e-06,0.00187428,-0.0216698
-0.000100489,-0.000755145,-0.012744
0.000417523,0.0017014,0.0298404
-0.00163113,0.0159873,-0.0392829
0.00570541,-0.0293119,-0.0011868
-0.00378658,0.0464868,0.063099
-0.00404383,-0.0200539,-0.0326202
0.0726328,-0.0794496,-0.0624936
-0.093823,0.0734556,0.0572072
-0.121489,0.0912057,0.0650662
0.183738,-0.107437,-0.0699678
0.399616,-0.171063,-0.090466
0.341924,0.0313685,0.0566349
0.200439,0.263209,0.136722
0.0873532,0.340665,0.0210973
0.0295072,0.295062,-0.137535
0.00869814,0.187227,-0.16324
0.00206963,0.0984506,-0.047303
0.00045407,0.0441465,0.131487
8.39707e-05,0.0169438,0.261537
1.44397e-05,0.00594923,0.286858
2.19435e-06,0.0018087,0.250529
3.06342e-07,0.000522394,0.176864
3.95656e-08,0.00013203,0.110765
4.60566e-09,3.23072e-05,0.0610551
5.16315e-10,7.00982e-06,0.0305334
5.1198e-11,1.48271e-06,0.0140564
5.04919e-12,2.82552e-07,0.00590336
4.34048e-13,5.24381e-08,0.00235052
3.7983e-14,8.92521e-09,0.000854681
2.87192e-15,1.47053e-09,0.000300778
2.24219e-16,2.26403e-10,9.66943e-05
1.5091e-17,3.34382e-11,3.05269e-05
1.05461e-18,4.70247e-12,8.81218e-06
6.38053e-20,6.27701e-13,2.52321e-06
3.99825e-21,8.12472e-14,6.61935e-07
2.19171e-22,9.87146e-15,1.73353e-07
1.23228e-23,1.18305e-15,4.17283e-08
6.15806e-25,1.31652e-16,1.00629e-08
3.1057e-26,1.46782e-17,2.24015e-09
1.42127e-27,1.50434e-18,5.00217e-10
6.42278e-29,1.56622e-19,1.0366e-10
2.69945e-30,1.48566e-20,2.15338e-11
1.09115e-31,1.44874e-21,4.17709e-12
4.2169e-33,1.27755e-22,8.10513e-13
1.5208e-34,1.16964e-23,1.47862e-13
5.40064e-36,9.62703e-25,2.6894e-14
1.73201e-37,8.29104e-26,4.63291e-15
5.63544e-39,6.39236e-27,7.92362e-16
1.60029e-40,5.18652e-28,1.29342e-16
4.74345e-42,3.75795e-29,2.08594e-17
1.18614e-43,2.87595e-30,3.23637e-18
3.17236e-45,1.96402e-31,4.93415e-19
6.93566e-47,1.41904e-32,7.29567e-20
1.64824e-48,9.15775e-34,1.05395e-20
3.12052e-50,6.25108e-35,1.48861e-21
6.42926e-52,3.82119e-36,2.04203e-22
1.03992e-53,2.46544e-37,2.75999e-23
1.78281e-55,1.43535e-38,3.66126e-24
0,0,0
