t=5,t=10,t=20
0,0,0
3.64725e-189,3.83281e-39,1.50552e-26
2.00547e-182,2.50344e-38,4.4039e-26
8.0074e-176,1.5014e-37,1.03547e-25
2.32163e-169,8.5722e-37,2.28437e-25
4.88789e-163,4.68039e-36,4.91669e-25
7.47265e-157,2.45102e-35,1.04516e-24
8.29572e-151,1.23428e-34,2.20335e-24
6.68742e-145,5.99036e-34,4.6132e-24
3.91462e-139,2.80768e-33,9.59762e-24
1.66397e-133,1.27312e-32,1.98451e-23
5.13604e-128,5.59398e-32,4.0786e-23
1.15116e-122,2.38523e-31,8.33216e-23
1.87357e-117,9.88256e-31,1.69204e-22
2.21427e-112,3.98344e-30,3.41571e-22
1.90027e-107,1.56375e-29,6.85464e-22
1.1842e-102,5.98464e-29,1.36752e-21
5.35874e-98,2.23492e-28,2.71231e-21
1.76086e-93,8.15107e-28,5.34826e-21
4.20159e-89,2.90557e-27,1.0485e-20
7.27994e-85,1.01305e-26,2.04368e-20
9.15942e-81,3.45705e-26,3.96059e-20
8.36824e-77,1.15539e-25,7.63171e-20
5.5517e-73,3.78404e-25,1.4622e-19
2.6745e-69,1.21514e-24,2.78565e-19
9.35594e-66,3.82789e-24,5.27703e-19
2.37661e-62,1.18351e-23,9.94051e-19
4.38385e-59,3.59297e-23,1.86205e-18
5.87196e-56,1.07151e-22,3.46854e-18
5.7114e-53,3.14029e-22,6.42518e-18
4.03403e-50,9.04779e-22,1.18363e-17
2.06911e-47,2.56372e-21,2.16845e-17
7.7072e-45,7.14661e-21,3.95085e-17
2.08505e-42,1.96053e-20,7.15897e-17
4.09744e-40,5.29444e-20,1.29014e-16
5.85091e-38,1.40789e-19,2.31238e-16
6.07442e-36,3.68755e-19,4.12214e-16
4.5903e-34,9.51576e-19,7.30866e-16
2.53011e-32,2.41986e-18,1.28888e-15
1.02113e-30,6.06578e-18,2.26074e-15
3.03893e-29,1.49909e-17,3.94423e-15
6.75141e-28,3.65348e-17,6.84469e-15
1.14251e-26,8.78243e-17,1.1815e-14
1.51699e-25,2.08276e-16,2.02865e-14
1.63954e-24,4.8737e-16,3.46482e-14
1.49602e-23,1.12552e-15,5.88657e-14
1.18658e-22,2.56566e-15,9.9485e-14
8.35793e-22,5.77385e-15,1.67252e-13
5.31544e-21,1.28299e-14,2.79713e-13
3.09165e-20,2.81538e-14,4.65356e-13
1.66111e-19,6.10196e-14,7.70185e-13
8.3121e-19,1.30642e-13,1.26808e-12
3.89924e-18,2.76333e-13,2.07706e-12
1.72423e-17,5.77531e-13,3.38459e-12
7.2203e-17,1.1928e-12,5.48682e-12
2.87441e-16,2.43475e-12,8.84911e-12
1.09155e-15,4.91235e-12,1.41987e-11
3.96538e-15,9.79755e-12,2.26658e-11
1.3816e-14,1.93191e-11,3.59975e-11
4.62699e-14,3.76648e-11,5.68797e-11
1.49241e-13,7.26125e-11,8.9419e-11
4.64419e-13,1.38436e-10,1.3986e-10
1.39651e-12,2.61031e-10,2.17648e-10
4.0635e-12,4.86824e-10,3.3699e-10
1.14558e-11,8.98107e-10,5.19137e-10
3.13275e-11,1.63904e-09,7.95712e-10
8.31849e-11,2.95935e-09,1.2135e-09
2.14684e-10,5.28654e-09,1.84137e-09
5.38969e-10,9.34436e-09,2.7801e-09
1.3173e-09,1.6344e-08,4.17641e-09
3.13672e-09,2.82893e-08,6.24265e-09
7.28166e-09,4.84586e-08,9.28464e-09
1.64897e-08,8.2154e-08,1.37402e-08
3.6448e-08,1.37853e-07,2.02327e-08
7.86756e-08,2.28961e-07,2.9645e-08
1.65928e-07,3.76429e-07,4.32205e-08
3.42067e-07,6.12634e-07,6.27004e-08
6.89592e-07,9.87043e-07,9.05099e-08
1.35998e-06,1.57437e-06,1.30008e-07
2.62471e-06,2.48616e-06,1.85819e-07
4.95894e-06,3.88707e-06,2.6428e-07
9.17446e-06,6.01729e-06,3.74018e-07
1.66258e-05,9.22317e-06,5.26713e-07
2.95193e-05,1.39983e-05,7.38099e-07
5.13638e-05,2.10375e-05,1.02923e-06
8.7605e-05,3.1308e-05,1.42815e-06
0.000146491,4.61389e-05,1.97194e-06
0.000240204,6.73351e-05,2.70944e-06
0.000386291,9.73166e-05,3.70449e-06
0.000609364,0.000139288,5.04016e-06
0.000943036,0.000197437,6.82381e-06
0.00143193,0.000277165,9.19344e-06
0.00213356,0.000385347,1.23253e-05
0.00311975,0.000530609,1.64432e-05
0.00447714,0.000723618,2.18296e-05
0.00630638,0.00097738,2.88388e-05
0.00871927,0.00130749,3.79121e-05
0.0118338,0.00173236,4.95966e-05
0.0157659,0.00227332,6.4565e-05
0.0206197,0.00295471,8.36402e-05
0.0264734,0.0038036,0.000107821
0.0333662,0.00484957,0.000138314
0.0412821,0.00612403,0.000176564
0.0501378,0.00765945,0.000224289
0.0597722,0.00948812,0.000283521
0.0699424,0.0116408,0.000356643
0.0803271,0.0141449,0.00044643
0.0905377,0.0170227,0.000556087
0.100139,0.020289,0.000689288
0.108678,0.0239493,0.000850213
0.115715,0.0279973,0.00104357
0.120862,0.0324133,0.00127463
0.123818,0.0371626,0.0015492
0.124393,0.0421944,0.00187369
0.122532,0.0474416,0.00225502
0.118321,0.0528212,0.00270063
0.11198,0.0582358,0.00321838
0.103845,0.0635756,0.00381653
0.0943377,0.0687224,0.00450357
0.0839309,0.0735525,0.00528808
0.0731086,0.0779423,0.00617864
0.0623284,0.0817726,0.00718351
0.0519905,0.0849349,0.00831055
0.0424153,0.087335,0.00956682
0.0338303,0.0888989,0.0109585
0.0263685,0.0895753,0.0124903
0.0200749,0.0893399,0.0141655
0.014921,0.0881947,0.0159856
0.0108211,0.0861706,0.0179498
0.00765274,0.0833237,0.0200547
0.00527417,0.0797346,0.0222948
0.0035398,0.0755032,0.024661
0.00231183,0.0707454,0.0271419
0.00146799,0.0655864,0.0297225
0.000905493,0.0601567,0.0323851
0.000542006,0.0545852,0.0351086
0.000314487,0.0489954,0.0378694
0.000176665,0.0434999,0.040641
9.59545e-05,0.0381979,0.0433949
5.03146e-05,0.0331719,0.0461006
2.54282e-05,0.0284867,0.0487264
1.23626e-05,0.0241887,0.0512397
5.76987e-06,0.0203067,0.0536081
2.5789e-06,0.0168531,0.0557993
1.10085e-06,0.0138257,0.057783
4.47378e-07,0.0112101,0.0595301
1.72455e-07,0.00898261,0.0610148
6.27881e-08,0.00711229,0.0622141
2.14806e-08,0.00556386,0.0631094
6.86346e-09,0.00429979,0.0636861
2.03291e-09,0.00328217,0.0639345
5.5306e-10,0.00247434,0.0638498
1.36615e-10,0.00184193,0.0634326
3.01842e-11,0.00135374,0.0626884
5.85171e-12,0.000982154,0.0616281
9.70162e-13,0.000703281,0.0602669
1.32941e-13,0.000496942,0.0586251
1.44989e-14,0.000346443,0.0567263
1.21761e-15,0.000238244,0.0545979
7.68742e-17,0.00016158,0.0522696
3.5939e-18,0.000108053,0.0497737
1.23316e-19,7.1232e-05,0.0471431
3.09023e-21,4.62804e-05,0.0444118
5.64052e-23,2.96278e-05,0.0416133
7.4882e-25,1.8684e-05,0.0387804
7.22495e-27,1.16035e-05,0.0359443
5.06424e-29,7.09475e-06,0.0331343
2.57824e-31,4.26953e-06,0.0303771
9.53264e-34,2.52804e-06,0.0276968
2.55951e-36,1.47232e-06,0.025114
4.99049e-39,8.43111e-07,0.0226464
7.06581e-42,4.74533e-07,0.0203081
7.2646e-45,2.62409e-07,0.0181099
5.42361e-48,1.42508e-07,0.0160595
2.94031e-51,7.59729e-08,0.0141613
1.15751e-54,3.974e-08,0.0124173
3.30887e-58,2.0386e-08,0.0108265
6.86851e-62,1.02503e-08,0.00938587
1.03531e-65,5.04892e-09,0.00809059
1.1332e-69,2.4347e-09,0.00693415
9.0067e-74,1.14867e-09,0.00590883
5.19818e-78,5.29838e-10,0.00500605
2.17853e-82,2.38757e-10,0.00421659
6.6298e-87,1.05022e-10,0.00353094
1.46509e-91,4.50531e-11,0.00293946
2.351e-96,1.8831e-11,0.00243267
2.73947e-101,7.66066e-12,0.00200135
2.31797e-106,3.02974e-12,0.00163673
1.42421e-111,1.16343e-12,0.00133054
6.35427e-117,4.33177e-13,0.00107514
2.05865e-122,1.56138e-13,0.000863513
4.84314e-128,5.43916e-14,0.000689321
8.27363e-134,1.82766e-14,0.00054687
1.02634e-139,5.91109e-15,0.000431101
9.24511e-146,1.83564e-15,0.00033752
6.04726e-152,5.45818e-16,0.000262097
2.87231e-158,1.54905e-16,0.000201077
9.9067e-165,4.18042e-17,0.00015061
2.48115e-171,1.0674e-17,0.000105992
4.51235e-178,2.49849e-18,6.00951e-05
0,0,0
