t=5,t=10,t=20
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.4822e-323,1.4822e-323,1.4822e-323
3.34487e-319,3.45846e-323,3.45846e-323
5.83648e-310,3.30533e-316,4.94066e-323
7.39543e-301,4.18819e-307,1.34381e-319
6.80458e-292,3.85358e-298,1.23592e-310
4.54638e-283,2.57471e-289,8.25762e-302
2.20574e-274,1.24916e-280,4.00631e-293
7.77088e-266,4.40082e-272,1.41143e-284
1.98798e-257,1.12584e-263,3.61078e-276
3.69299e-249,2.09142e-255,6.70762e-268
4.98163e-241,2.8212e-247,9.04817e-260
4.87966e-233,2.76346e-239,8.86297e-252
3.47084e-225,1.96561e-231,6.30411e-244
1.79269e-217,1.01524e-223,3.25607e-236
6.72357e-210,3.8077e-216,1.22121e-228
1.83114e-202,1.03701e-208,3.32592e-221
3.62134e-195,2.05084e-201,6.57748e-214
5.20046e-188,2.94514e-194,9.44568e-207
5.42302e-181,3.07118e-187,9.84992e-200
4.10644e-174,2.32557e-180,7.45862e-193
2.25796e-167,1.27874e-173,4.10119e-186
9.01557e-161,5.10574e-167,1.63753e-179
2.61394e-154,1.48034e-160,4.74781e-173
5.50332e-148,3.11667e-154,9.99596e-167
8.41355e-142,4.76483e-148,1.52821e-160
9.34029e-136,5.28969e-142,1.69656e-154
7.52953e-130,4.26422e-136,1.36768e-148
4.4076e-124,2.49619e-130,8.00623e-143
1.87354e-118,1.06107e-124,3.40333e-137
5.78298e-113,3.2752e-119,1.05054e-131
1.29619e-107,7.34115e-114,2.3548e-126
2.10967e-102,1.19487e-108,3.83299e-121
2.49339e-97,1.41226e-103,4.53069e-116
2.13993e-92,1.21212e-98,3.88903e-111
1.33365e-87,7.55477e-94,2.42426e-106
6.03563e-83,3.41937e-89,1.09747e-101
1.98356e-78,1.1239e-84,3.60824e-97
