t=5,t=10,t=20
0,0,0
0,1.48298e-231,-7.80832e-95
0,3.87487e-228,1.44352e-93
0,9.33695e-225,-2.52477e-92
0,2.07463e-221,4.18545e-91
0,4.25032e-218,-6.59127e-90
0,8.02798e-215,9.86816e-89
0,1.3978e-211,-1.40366e-87
0,2.24331e-208,1.89253e-86
0,3.31801e-205,-2.40752e-85
0,4.5222e-202,2.86522e-84
0,5.67856e-199,-3.13972e-83
0,6.56855e-196,3.06454e-82
0,6.9978e-193,-2.44394e-81
0,6.86477e-190,1.07531e-80
0,6.19963e-187,1.21869e-79
0,5.15318e-184,-4.55179e-78
0,3.94127e-181,8.93615e-77
0,2.77282e-178,-1.4253e-75
0,1.79386e-175,2.02402e-74
0,1.0668e-172,-2.65023e-73
3.23218e-320,5.82953e-170,3.25461e-72
9.41364e-316,2.92582e-167,-3.78376e-71
2.53112e-311,1.34808e-164,4.18725e-70
6.28208e-307,5.69907e-162,-4.42477e-69
1.43923e-302,2.20928e-159,4.47207e-68
3.04359e-298,7.84811e-157,-4.32458e-67
5.94119e-294,2.55282e-154,3.99797e-66
1.0705e-289,7.59716e-152,-3.52557e-65
1.78045e-285,2.06653e-149,2.95327e-64
2.73334e-281,5.13242e-147,-2.33286e-63
3.87326e-277,1.1624e-144,1.71507e-62
5.06615e-273,2.39735e-142,-1.14355e-61
6.11636e-269,4.49504e-140,6.5062e-61
6.81582e-265,7.64777e-138,-2.55286e-60
7.01051e-261,1.17804e-135,-3.65626e-60
6.65554e-257,1.63851e-133,2.30145e-58
5.83196e-253,2.05116e-131,-3.38692e-57
4.71671e-249,2.30188e-129,3.79962e-56
3.52088e-245,2.30426e-127,-3.73003e-55
2.42574e-241,2.04432e-125,3.35609e-54
1.54246e-237,1.59361e-123,-2.8266e-53
9.05213e-234,1.07833e-121,2.25355e-52
4.90286e-230,6.21857e-120,-1.71171e-51
2.45076e-226,2.96377e-118,1.24333e-50
1.13057e-222,1.09803e-116,-8.65412e-50
4.81316e-219,2.66393e-115,5.77664e-49
1.89098e-215,5.94144e-115,-3.69652e-48
6.8558e-212,-2.93919e-112,2.26413e-47
2.29367e-208,-1.39345e-110,-1.32331e-46
7.08098e-205,-2.48434e-109,7.34055e-46
2.01711e-201,5.09148e-108,-3.82872e-45
5.30185e-198,4.02007e-106,1.84583e-44
1.28578e-194,7.03017e-105,-7.93715e-44
2.87694e-191,-1.60331e-103,2.7699e-43
5.93882e-188,-9.22639e-102,-4.92827e-43
1.13098e-184,-6.21881e-101,-3.39444e-42
1.98686e-181,5.46871e-99,5.20892e-41
3.21971e-178,1.23266e-97,-4.55257e-40
4.81255e-175,-1.87421e-96,3.28046e-39
6.63454e-172,-9.3747e-95,-2.1195e-38
8.43515e-169,2.06816e-94,1.26882e-37
9.88976e-166,5.13358e-92,-7.1517e-37
1.06918e-162,1.98018e-91,3.82922e-36
1.06573e-159,-2.34188e-89,-1.95773e-35
9.79323e-157,-1.66426e-88,9.58627e-35
8.29548e-154,9.61986e-87,-4.50289e-34
6.47646e-151,7.56422e-86,2.02999e-33
4.65968e-148,-3.60607e-84,-8.77896e-33
3.08909e-145,-2.49971e-83,3.63634e-32
1.88666e-142,1.26216e-81,-1.43845e-31
1.06136e-139,5.71838e-81,5.4077e-31
5.49868e-137,-4.26008e-79,-1.91625e-30
2.62292e-134,7.05507e-79,6.30812e-30
1.1517e-131,8.82882e-77,-1.87452e-29
4.65388e-129,4.66058e-77,4.69102e-29
1.73015e-126,-3.49981e-74,-7.60291e-29
5.91578e-124,4.04186e-73,-1.05049e-28
1.85973e-121,2.26541e-72,1.79458e-27
5.37317e-119,-7.30981e-71,-1.13248e-26
1.42617e-116,3.4383e-70,5.59693e-26
3.47593e-114,-9.95536e-69,-2.43551e-25
7.77502e-112,6.31559e-67,9.72463e-25
1.59518e-109,-1.6705e-65,-3.6317e-24
2.99996e-107,2.8522e-64,1.28152e-23
5.16772e-105,-4.07692e-63,-4.2979e-23
8.1471e-103,5.84913e-62,1.37461e-22
1.17442e-100,-8.36398e-61,-4.20066e-22
