analytical,simpleexplicit
0,0
9.48962e-11,5.29679e-11
2.06032e-10,1.27222e-10
3.5214e-10,2.01475e-10
5.5728e-10,3.54667e-10
8.54383e-10,5.07859e-10
1.28997e-09,8.5211e-10
1.93061e-09,1.19636e-09
2.87197e-09,1.97005e-09
4.25142e-09,2.74375e-09
6.26566e-09,4.45498e-09
9.19538e-09,6.16621e-09
1.34394e-08,9.88093e-09
1.95623e-08,1.35957e-08
2.8359e-08,2.15074e-08
4.09449e-08,2.94191e-08
5.88776e-08,4.59525e-08
8.43221e-08,6.24859e-08
1.20275e-07,9.63898e-08
1.70865e-07,1.30294e-07
2.41756e-07,1.98525e-07
3.40681e-07,2.66757e-07
4.78152e-07,4.01536e-07
6.68395e-07,5.36314e-07
9.30573e-07,7.97653e-07
1.29038e-06,1.05899e-06
1.78214e-06,1.55648e-06
2.45141e-06,2.05397e-06
3.35852e-06,2.9838e-06
4.58286e-06,3.91363e-06
6.2285e-06,5.62014e-06
8.43123e-06,7.32665e-06
1.13674e-05,1.04023e-05
1.52649e-05,1.3478e-05
2.04169e-05,1.89223e-05
2.71992e-05,2.43667e-05
3.60902e-05,3.38324e-05
4.76974e-05,4.32981e-05
6.27873e-05,5.94642e-05
8.23236e-05,7.56303e-05
0.000107511,0.000102753
0.00013985,0.000129877
0.000181197,0.000174585
0.000233844,0.000219294
0.000300598,0.000291702
0.000384888,0.000364111
0.000490879,0.000479341
0.000623603,0.000594572
0.000789113,0.000774773
0.000994649,0.000954974
0.00124883,0.00123191
0.00156186,0.00150885
0.00194577,0.00192715
0.00241465,0.00234545
0.00298491,0.00296642
0.00367561,0.00358739
0.0045087,0.00449351
0.00550935,0.00539963
0.00670628,0.00669931
0.00813202,0.00799899
0.00982327,0.00983154
0.0118211,0.0116641
0.0141714,0.0142043
0.0169247,0.0167444
0.0201368,0.020206
0.0238684,0.0236676
0.0281858,0.0283055
0.03316,0.0329434
0.0388671,0.0390529
0.0453879,0.0451624
0.0528075,0.0530757
0.0612146,0.060989
0.0707011,0.0710672
0.0813611,0.0811454
0.09329,0.0937667
0.106583,0.106388
0.121335,0.121931
0.137638,0.137474
0.15558,0.156297
0.175244,0.175119
0.196706,0.197535
0.220031,0.219951
0.245278,0.246204
0.27249,0.272457
0.3017,0.302695
0.332922,0.332933
0.366157,0.367185
0.401387,0.401436
0.438578,0.439594
0.477675,0.477752
0.518605,0.519559
0.561276,0.561367
0.605577,0.606418
0.651378,0.651469
0.698535,0.699216
0.746886,0.746962
0.796253,0.796732
0.846451,0.846502
0.897279,0.897526
0.948533,0.94855
1,1
