analytical,simpleexplicit
0,0
0.00292997,0.00292924
0.0058658,0.0058702
0.00881335,0.00881116
0.0117785,0.0117873
0.014767,0.0147634
0.0177848,0.017798
0.0208377,0.0208327
0.0239314,0.0239492
0.027072,0.0270657
0.030265,0.0302873
0.0335164,0.033509
0.0368319,0.0368588
0.0402172,0.0402087
0.0436781,0.0437097
0.0472203,0.0472108
0.0508494,0.0508858
0.0545712,0.0545608
0.0583911,0.0584323
0.0623148,0.0623038
0.0663479,0.066394
0.0704958,0.0704843
0.074764,0.0748151
0.0791579,0.079146
0.0836827,0.0837389
0.0883439,0.0883319
0.0931466,0.0932079
0.098096,0.098084
0.103197,0.103264
0.108455,0.108443
0.113874,0.113946
0.11946,0.119449
0.125218,0.125294
0.131151,0.13114
0.137264,0.137346
0.143562,0.143552
0.150049,0.150136
0.156729,0.15672
0.163606,0.163698
0.170684,0.170676
0.177967,0.178064
0.185459,0.185452
0.193162,0.193263
0.20108,0.201074
0.209216,0.209321
0.217572,0.217568
0.226153,0.226262
0.234959,0.234956
0.243994,0.244107
0.253259,0.253257
0.262756,0.262872
0.272488,0.272487
0.282454,0.282573
0.292657,0.292659
0.303098,0.303219
0.313776,0.313779
0.324693,0.324816
0.335849,0.335854
0.347244,0.347368
0.358876,0.358882
0.370747,0.370872
0.382854,0.382861
0.395197,0.395322
0.407774,0.407782
0.420584,0.420707
0.433624,0.433633
0.446892,0.447014
0.460386,0.460396
0.474102,0.474223
0.488039,0.488049
0.502191,0.502309
0.516556,0.516568
0.53113,0.531244
0.545908,0.54592
0.560886,0.560996
0.576059,0.576071
0.591423,0.591527
0.60697,0.606982
0.622697,0.622795
0.638597,0.638609
0.654665,0.654757
0.670893,0.670904
0.687276,0.68736
0.703806,0.703817
0.720477,0.720554
0.737282,0.737292
0.754213,0.754281
0.771262,0.771271
0.788423,0.788482
0.805686,0.805694
0.823044,0.823095
0.84049,0.840496
0.858013,0.858054
0.875607,0.875612
0.893263,0.893293
0.910971,0.910975
0.928723,0.928744
0.946511,0.946514
0.964326,0.964337
0.982159,0.982159
1,1
