analytical,simpleexplicit
0,0
0.00080038,-0.128403
0.00162745,0.262509
0.00250834,-0.395108
0.00347109,0.545182
0.00454509,-0.69124
0.00576148,0.867666
0.0071536,-1.03547
0.00875734,1.24845
0.0106116,-1.44484
0.0127584,1.70398
0.0152435,-1.93373
0.0181164,2.24757
0.0214305,-2.51257
0.0252434,2.8879
0.0296169,-3.18624
0.0346168,3.62742
0.0403131,-3.95241
0.0467793,4.46063
0.0540926,-4.79987
0.0623331,5.37256
0.0715833,-5.70719
0.0819274,6.33765
0.0934509,-6.64196
0.106239,7.31932
0.120376,-7.56093
0.135944,8.27064
0.153023,-8.41125
0.171686,9.13607
0.192003,-9.13293
0.214034,9.85456
0.237833,-9.66267
0.263442,10.3638
0.290892,-9.93862
0.320204,10.6052
0.351383,-9.90594
0.384419,10.5299
0.419289,-9.52251
0.455952,10.1038
0.494353,-8.76418
0.534419,9.31263
0.576062,-7.62884
0.619176,8.16503
0.663641,-6.13887
0.709324,6.69401
0.756077,-4.34126
0.80374,4.95601
0.852145,-2.30548
0.901114,3.02757
0.950461,-0.119019
1,1
